id_activity;completion_date;id_type;description
1;01/01/15;1;Book title: Adaptation et traduction des guidelines de l’European Association of Urology sur la transplantation rénale
2;01/01/15;2;"MOOC (part1) ""Cellules et cellules souches"""
3;01/01/17;1;Book title: European Textbook on Kidney Transplantation - European Association of Urology 2017
4;01/01/18;2;"MOOC (part2) ""Cellules et cellules souches"" and webdocumentary http://cellules-souches-webdoc.fr/"
5;01/01/19;2;Instructor in fundamental virology on a training workshop for medical practitioners organized by the Société Française de Lutte contre le SIDA on 23/05/2019 in Nantes, France
6;01/01/19;1;"Book title: Encyclopédie Médicale Continue Néphrologie. Chapter: ""Transplantation rénale : aspects immunologiques"", 10/04/2019, Elsevier Masson, Auteurs: Delphine Kervella, Simon Ville, Gilles Blancho"
7;01/01/19;1;"Book title: Encyclopédie Médicale Continue Néphrologie. Chapter: ""Transplantation rénale : aspects immunologiques"", 10/04/2019, Elsevier Masson, Auteurs: Delphine Kervella, Simon Ville, Gilles Blancho"
8;01/01/19;1;"Book title: Encyclopédie Médicale Continue Néphrologie. Chapter: ""Transplantation rénale : aspects immunologiques"", 10/04/2019, Elsevier Masson, Auteurs: Delphine Kervella, Simon Ville, Gilles Blancho"
9;01/01/19;1;"Book title: Transplantation, Bioengineering, and Regeneration of the Endocrine Pancreas 1st Edition. Chapter: ""Failure of the pancreas allograft"", 01/11/2019, Elsevier, Editor: Giuseppe Orlando, Authors: Diego Cantarovich, Delphine Kervella, Julien Branchereau, Georges Karam"
10;01/01/19;1;"Book title: Transplantation, Bioengineering, and Regeneration of the Endocrine Pancreas 1st Edition. Chapter: ""Failure of the pancreas allograft"", 01/11/2019, Elsevier, Editor: Giuseppe Orlando, Authors: Diego Cantarovich, Delphine Kervella, Julien Branchereau, Georges Karam"
11;01/01/19;1;"Book title: Encyclopédie Médico-chirurgicale. Chapter ""Prélèvement des reins sur patient décédé après arrêt cardiaque"""
12;01/01/19;1;"Book title: Encyclopédie Médico-chirurgicale. Chapter ""Complications urologiques de la transplantation ""."
13;01/01/19;1;"Book title: Encyclopédie Médico-chirurgicale. Chapter ""Rein et machine de perfusion"""
14;01/01/19;1;Book title: Immunologie fondamentale et immunopathologie Chapter : Les mécanismes de l’alloréactivité, des rejets de greffe et de la GvH
15;01/01/19;1;Book title: Immunologie fondamentale et immunopathologie Chapter : Les cibles et mécanismes d’action des immunosuppresseurs
16;01/01/20;2;Teaching an introductory class in Biology for engineers, April-June 2020, 35 participants
17;;2;Cellular biology MOOC, Nantes Med School
18;;1;"Scientific english ""Route 66 to scientific English"""
19;;2;"Website on scientific english ""Route 66 to scientific English"""
