id_activity;start_date;end_date;scientific_society_name
1;01/01/15;01/01/19;Board Member, French Society of Immunology (SFI)
2;01/01/16;01/01/19;Elected Council Member, International Union of Immunological Societies (IUIS)
3;01/01/15;;Board member, French Dendritic cell Society (CFCD)
4;01/01/20;;Board member, French Dendritic cell Society (CFCD)
5;01/01/93;;Member, Société Internationale de transplantation (TTS)
6;01/01/94;;Member, IXA (International Xenotransplantation Association), branch of the world transplant society (TTS)
7;01/01/11;01/01/18;International councillor, IXA (International Xenotransplantation Association), branch of the world transplant society (TTS)
8;01/01/05;;Board member, Société Francophone de Transplantation
9;01/01/18;01/01/20;Vice President, Société Francophone de transplantation (SFT)
10;01/01/20;;President, Société Francophone de transplantation (SFT)
11;01/01/05;;Member, Société Française de Néphrologie
12;01/01/97;;Member, French Society of Immunology (SFI)
13;01/01/05;;Board member, National Association of Immunology Teachers (ASSIM)
14;01/01/18;01/01/20;Member, Association Française des Sciences et Techniques de l'Animal de Laboratoire (AFSTAL)
15;01/01/19;;Member, French Society of Immunology (SFI)
16;01/01/18;;Member, Association Française des Sciences et Techniques de l'Animal de Laboratoire (AFSTAL)
17;01/01/18;01/01/21;Member of scientific council, Groupe Français d'Etude des Vascularites (GFEV)
18;01/01/19;01/01/19;Board member & Vice President, Société Nationale Française de Médecine Interne (SNFMI) 
19;01/01/18;01/01/22;Board Member, French Society of Immunology (SFI)
20;01/01/18;01/01/22;Member of scientific council, Société Francophone d'Histocompatibilité et d'Immunogénétique (SFHI)
21;01/01/19;01/01/22;"""Commission Big data"" - assemblée générale du HUB"
22;01/01/14;01/01/18;Chairman of the Federation of Clinical Immunology Societies Multinational Centers of Excellence Committee. CA de FOCIS.
23;01/01/18;;Chairman of the Federation of Clinical Immunology Societies Education Committee. CA de FOCIS.
24;01/01/18;;Instituto Pasteur de Montevideo 
25;01/01/17;01/01/20;Treasurer, French Society for Stem Cell Research
26;01/01/19;01/01/19;Stay at the CiRA, 2 weeks, Kyoto, Japan
27;01/01/19;;General secretary, Collège français des enseignants d’Urologie
28;01/01/17;;Member, Groupe pancréas de l'Agence de la Biomédecine
29;01/01/19;;Administrator, Association Française d’Urologie
30;01/01/19;;Young Investigator, Council of International Pancreas and Islet Transplantation Association
31;01/01/10;;Committee member, Comité de transplantation de l’ AFU
32;01/01/16;;Committee member, Comité d’éthique de transplantation de l’ AFU
33;01/01/18;;Committee member, Comité Professionnel National d’ Urologie
34;01/01/17;01/01/20;Secretary, Scientific council, Société Française d'Anesthésie Réanimation
35;01/01/14;;Scientific Board Member , LARC-Neuroscience Network
36;01/01/18;01/01/21;Scientific Board Member , Société de Neuroendocrinologie expérimentale
37;01/01/18;;Chair, French neuroimmunology society
38;01/01/15;01/01/18;Chair, French neuroimmunology society
39;01/01/11;;Member of the steering committee of OFSEP
40;01/01/17;;Treasurer, EFI European Federation for Immunogenetics
